 ;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Pomurska;613;624;644;630;690;727;833;847;981;1141;1032
Podravska;1976;1832;1979;2075;2355;2288;2382;2510;2898;2944;3209
Koroška;467;458;523;520;569;540;661;644;721;781;811
Savinjska;1698;1566;1829;2051;2199;2118;2201;2394;2676;2791;2679
Zasavska;297;270;309;316;321;321;358;369;428;406;397
Spodnjeposavska;444;468;521;502;513;554;573;570;612;690;703
Jugovzhodna Slovenija;937;976;1095;1143;1265;1126;1227;1291;1378;1420;1354
Osrednjeslovenska;4278;4135;4309;4719;4844;4907;4699;4907;5265;5154;5368
Gorenjska;1489;1381;1481;1626;1708;1698;1698;1857;1863;2095;2035
Notranjsko-kraška;344;370;403;400;466;458;528;467;532;508;535
Goriška;865;940;895;917;1128;1001;1035;1110;1230;1264;1186
Obalno-kraška;778;731;721;779;932;819;800;909;866;929;932
